m/z,intensity
110.0712,39316.4648
111.0682,319.6931
111.0745,1509.0269
111.2657,104.0572
112.087,260.096
115.0866,118.672
116.4979,110.9478
118.0746,101.2496
118.2988,101.259
120.0808,6359.8389
122.0714,1284.5668
122.6864,95.4783
125.0711,125.5642
126.6215,112.6832
127.0864,228.301
129.1023,6594.9321
130.0651,227.9772
130.0863,3924.0146
130.1059,305.3385
131.1331,125.9082
132.0811,141.5993
136.0758,1072.318
137.079,116.7234
138.0663,1404.3833
139.6397,105.2383
141.1024,765.8214
143.118,251.5857
147.113,9094.4053
148.1164,378.7268
148.1478,104.1158
149.6271,103.685
150.0661,138.9843
154.0614,514.3124
155.0816,543.6497
155.5276,109.6485
156.0772,361.8795
157.1338,276.4479
158.0924,242.0316
159.0919,418.8405
164.1183,253.6156
166.0611,1123.4303
166.9362,117.5856
167.0817,204.4872
169.0973,554.6865
169.1337,300.234
171.1131,278.2398
171.1496,275.7863
172.0715,125.0298
173.0924,199.8933
173.1287,374.8813
173.3859,101.4527
175.1191,1257.2502
178.1343,142.406
179.989,106.5546
180.0238,114.7013
183.1131,218.6261
183.1493,4397.6509
184.1528,405.3073
185.165,3312.4016
186.0874,238.95
186.1235,310.5552
186.1687,206.193
186.4963,102.2776
187.0712,116.5658
187.1078,456.8996
198.1243,196.6487
199.1445,178.675
199.1808,731.025
201.0873,227.4837
201.1238,379.5022
204.1344,2202.5247
207.1607,141.6021
211.1443,3557.8359
212.1479,370.4301
212.1762,346.5094
213.1599,1676.4347
214.1189,248.6954
214.1634,203.0692
215.103,345.7082
215.1392,394.5911
216.0979,354.0423
216.1346,222.9431
223.1081,142.5386
223.1554,1118.6639
225.1599,113.9492
226.1188,927.0436
227.1028,190.7361
227.1757,998.5619
228.1343,1051.197
228.1706,376.5295
229.1552,320.4536
231.149,218.6695
233.1402,292.5977
233.1649,2131.3838
234.1242,1253.2661
234.1685,136.3624
235.1191,4772.293
235.1557,270.5096
236.1034,197.5084
236.1236,472.8692
238.1185,242.3526
240.1346,337.1197
242.1501,232.5903
243.1341,432.3115
245.1301,196.0993
247.1199,518.6516
249.1601,151.9533
251.1505,3603.9563
252.1545,267.5753
253.9947,112.6116
256.0928,442.8451
256.1445,261.4001
258.1089,772.4817
258.1448,790.1485
259.1453,313.4315
260.1966,136.8201
261.1348,190.2426
261.1568,1830.7739
262.1629,203.8783
263.1143,454.3298
265.1,255.2306
270.1812,303.7797
271.129,123.968
274.1183,581.8991
275.1717,245.8112
276.1339,207.9991
276.1559,530.8801
276.1709,2046.7137
277.1557,587.6407
277.1745,255.0516
277.2028,224.4776
279.0977,311.2432
279.1454,3120.3059
280.1494,149.5194
282.1458,152.3463
282.7924,122.4265
284.1027,239.6107
284.1393,857.1761
284.1602,147.6379
286.1389,194.6283
287.2404,115.391
288.2029,131.9608
289.2028,298.1913
289.7665,132.0524
293.1132,208.3814
294.1815,17224.4941
295.185,1985.1188
297.1558,231.3027
299.2083,289.4427
300.1556,350.2489
301.1873,2486.4546
302.1138,1155.886
302.1911,348.2251
304.1632,391.3685
304.2131,300.2638
305.1971,157.1546
306.2291,4396.749
306.5656,124.7649
307.1413,132.591
307.2321,325.4116
310.14,125.9638
310.1765,193.2789
310.2128,334.1532
311.1708,575.7974
311.2076,132.7452
312.1555,154.3253
312.1748,226.6844
312.1922,567.3126
312.2281,1137.1409
313.1867,777.8809
321.6864,116.0779
322.0862,820.9703
322.1218,205.1555
322.2238,839.2945
